Sirket	Urun	Tur Adi	Inc	Ram	Isletim Sistemi	Agirlik	Ekran	Ekran Genisligi	Ekran Yuksekligi	Dokunmatik Ekran	IPS Panel	Retina Ekran	Islemci Sirketi	Islemci Frekansi	Islemci Modeli	Birincil Depolama	Ikincil Depolama	Birincil Depolama Turu	Ikincil Depolama Turu	Grafik Karti Sirketi	Grafik Karti Modeli	Fiyat(TürkLirasi)
Asus	VivoBook S14	Notebook	14.0	4.0	Windows 10	1.3	Standard	1366.0	768.0	No	No	No	Intel	2.4	Core i3 7100U	128.0	0.0	SSD	No	Intel	HD Graphics 620	18833.0
Asus	Rog GL702VS-GC095T	Gaming	17.3	16.0	Windows 10	2.9	Full HD	1920.0	1080.0	No	No	No	Intel	2.8	Core i7 7700HQ	256.0	1024.0	SSD	HDD	Nvidia	GeForce GTX 1070	78514.0
Lenovo	IdeaPad 320-17IKB	Notebook	17.3	6.0	Windows 10	2.8	Standard	1600.0	900.0	No	No	No	Intel	2.5	Core i5 7200U	1024.0	0.0	HDD	No	Nvidia	GeForce GTX 940M	24013.0
Lenovo	IdeaPad 320-15IKBN	Notebook	15.6	8.0	No OS	2.2	Standard	1366.0	768.0	No	No	No	Intel	2.5	Core i5 7200U	2048.0	0.0	HDD	No	Nvidia	GeForce 940MX	20313.0
Asus	GL553VE-FY082T (i7-7700HQ/8GB/1TB	Gaming	15.6	8.0	Windows 10	2.5	Full HD	1920.0	1080.0	No	No	No	Intel	2.8	Core i7 7700HQ	128.0	1024.0	SSD	HDD	Nvidia	GeForce GTX 1050 Ti	46805.0
Lenovo	IdeaPad 320-15IAP	Notebook	15.6	4.0	No OS	2.2	Standard	1366.0	768.0	No	No	No	Intel	1.1	Pentium Quad Core N4200	1024.0	0.0	HDD	No	Intel	HD Graphics 505	13319.630000000001
HP	EliteBook x360	2 in 1 Convertible	13.3	16.0	Windows 10	1.28	Full HD	1920.0	1080.0	Yes	No	No	Intel	2.8	Core i7 7600U	256.0	0.0	SSD	No	Intel	HD Graphics 620	73075.0
Toshiba	Satellite Pro	Notebook	15.6	8.0	Windows 10	2.2	Full HD	1920.0	1080.0	No	Yes	No	Intel	2.5	Core i7 6500U	256.0	0.0	SSD	No	Nvidia	GeForce 930M	38591.0
Lenovo	IdeaPad 320-15IKB	Notebook	15.6	8.0	Windows 10	2.3	Full HD	1920.0	1080.0	No	No	No	Intel	2.5	Core i5 7200U	128.0	1024.0	SSD	HDD	Nvidia	GeForce 940MX	30303.0
HP	250 G6	Notebook	15.6	4.0	Windows 10	1.86	Full HD	1920.0	1080.0	No	No	No	Intel	2.0	Core i3 6006U	1024.0	0.0	HDD	No	Intel	HD Graphics 520	17353.0
Lenovo	IdeaPad 720S-13IKB	Notebook	13.3	8.0	Windows 10	1.1	Full HD	1920.0	1080.0	No	Yes	No	Intel	2.5	Core i5 7200U	256.0	0.0	SSD	No	Intel	HD Graphics 620	36963.0
Dell	XPS 13	Ultrabook	13.3	16.0	Windows 10	1.21	4K Ultra HD	3840.0	2160.0	Yes	Yes	No	Intel	1.8	Core i7 8550U	1024.0	0.0	SSD	No	Intel	UHD Graphics 620	92463.0
MSI	GE63VR 7RF	Gaming	15.6	16.0	Windows 10	2.8	Full HD	1920.0	1080.0	No	Yes	No	Intel	2.8	Core i7 7700HQ	256.0	1024.0	SSD	HDD	Nvidia	GeForce GTX 1070	77663.0
Acer	ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10)	Notebook	15.6	8.0	Windows 10	2.23	Full HD	1920.0	1080.0	No	No	No	AMD	2.2	A8-Series 7410	256.0	0.0	SSD	No	AMD	Radeon R5	17353.0
Asus	VivoBook Flip	2 in 1 Convertible	11.6	2.0	Windows 10	1.1	Standard	1366.0	768.0	Yes	No	No	Intel	1.1	Celeron Dual Core N3350	32.0	0.0	Flash Storage	No	Intel	HD Graphics 500	10175.0
Dell	Inspiron 5570	Notebook	15.6	8.0	Windows 10	2.33	Full HD	1920.0	1080.0	No	No	No	Intel	1.6	Core i5 8250U	128.0	1024.0	SSD	HDD	AMD	Radeon 530	31228.0
HP	Spectre x360	2 in 1 Convertible	13.3	16.0	Windows 10	1.29	4K Ultra HD	3840.0	2160.0	Yes	Yes	No	Intel	1.8	Core i7 8550U	1024.0	0.0	SSD	No	Intel	UHD Graphics 620	90613.0
Lenovo	ThinkPad 13	Notebook	13.3	4.0	Chrome OS	1.45	Standard	1366.0	768.0	No	No	No	Intel	1.6	Celeron Dual Core 3855U	16.0	0.0	Flash Storage	No	Intel	HD Graphics 510	17016.3
HP	ProBook 640	Notebook	14.0	8.0	Windows 10	1.95	Full HD	1920.0	1080.0	No	No	No	Intel	2.5	Core i5 7200U	256.0	0.0	SSD	No	Intel	HD Graphics 620	36260.0
Acer	TravelMate B	Notebook	11.6	4.0	Windows 10	1.4	Standard	1366.0	768.0	No	No	No	Intel	1.6	Pentium Quad Core N3710	128.0	0.0	Flash Storage	No	Intel	HD Graphics 405	17945.0
HP	Elitebook 840	Notebook	14.0	8.0	Windows 10	1.48	Full HD	1920.0	1080.0	No	No	No	Intel	2.7	Core i7 7500U	256.0	0.0	SSD	No	Intel	HD Graphics 620	47804.0
Lenovo	IdeaPad 320-17IKB	Notebook	17.3	4.0	Windows 10	2.79	Standard	1600.0	900.0	No	No	No	Intel	2.5	Core i5 7200U	1024.0	0.0	HDD	No	Nvidia	GeForce 920MX	21793.0
Asus	ZenBook UX410UA-GV183T	Notebook	14.0	8.0	Windows 10	2.0	Full HD	1920.0	1080.0	No	No	No	Intel	2.7	Core i7 7500U	256.0	0.0	SSD	No	Intel	HD Graphics 620	40478.0
HP	ProBook 450	Notebook	15.6	8.0	Windows 10	2.1	Full HD	1366.0	768.0	No	Yes	No	Intel	1.8	Core i7 8550U	1024.0	0.0	HDD	No	Intel	UHD Graphics 620	33374.0
Acer	Aspire 5	Notebook	15.6	8.0	Windows 10	2.2	Standard	1366.0	768.0	No	No	No	AMD	2.7	A12-Series 9720P	256.0	0.0	SSD	No	AMD	Radeon RX 540	24383.0
Lenovo	IdeaPad 120S-14IAP	Notebook	14.0	4.0	Windows 10	1.44	Standard	1366.0	768.0	No	No	No	Intel	1.1	Celeron Dual Core N3350	32.0	0.0	Flash Storage	No	Intel	HD Graphics 500	10804.0
Acer	Aspire E5-575	Notebook	15.6	6.0	Windows 10	2.23	Standard	1366.0	768.0	No	No	No	Intel	2.5	Core i5 7200U	1024.0	0.0	HDD	No	Intel	HD Graphics 620	20313.0
Asus	VivoBook S15	Ultrabook	15.6	8.0	Windows 10	1.7	Full HD	1920.0	1080.0	No	No	No	Intel	2.7	Core i7 7500U	256.0	0.0	SSD	No	Nvidia	GeForce 940MX	38846.3
HP	Elitebook 820	Ultrabook	12.5	8.0	Windows 10	1.26	Full HD	1920.0	1080.0	No	No	No	Intel	2.7	Core i7 7500U	256.0	0.0	SSD	No	Intel	HD Graphics 620	49395.0
Dell	XPS 15	Notebook	15.6	32.0	Windows 10	2.06	4K Ultra HD	3840.0	2160.0	Yes	No	No	Intel	2.8	Core i7 7700HQ	1024.0	0.0	SSD	No	Nvidia	GeForce GTX 1050	97643.0
MSI	GL72M 7REX	Gaming	17.3	8.0	Windows 10	2.7	Full HD	1920.0	1080.0	No	No	No	Intel	2.8	Core i7 7700HQ	256.0	1024.0	SSD	HDD	Nvidia	GeForce GTX 1050 Ti	44363.0
Toshiba	Satellite Pro	Notebook	15.6	8.0	Windows 10	2.0	Full HD	1920.0	1080.0	No	Yes	No	Intel	2.5	Core i5 7200U	256.0	0.0	SSD	No	Intel	HD Graphics 620	34891.0
Asus	UX510UX-CN269T (i7-7500U/8GB/256GB	Notebook	14.0	8.0	Windows 10	2.0	Full HD	1920.0	1080.0	No	No	No	Intel	2.7	Core i7 7500U	256.0	1024.0	SSD	HDD	Intel	HD Graphics 620	49358.0
Lenovo	V310-15ISK (i3-6006U/4GB/1TB/FHD/W10)	Notebook	15.6	4.0	Windows 10	1.85	Full HD	1920.0	1080.0	No	No	No	Intel	2.0	Core i3 6006U	1024.0	0.0	HDD	No	Intel	HD Graphics 520	16613.0
Asus	FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce	Gaming	15.6	8.0	Windows 10	2.5	Full HD	1920.0	1080.0	No	No	No	Intel	2.8	Core i7 7700HQ	256.0	0.0	SSD	No	Nvidia	GeForce GTX 1050	36963.0
HP	EliteBook 840	Notebook	14.0	8.0	Windows 10	1.48	Full HD	1920.0	1080.0	No	No	No	Intel	2.6	Core i5 7300U	256.0	0.0	SSD	No	Intel	HD Graphics 620	46916.0
Dell	Inspiron 7570	Ultrabook	15.6	8.0	Windows 10	1.9	Full HD	1920.0	1080.0	No	Yes	No	Intel	1.6	Core i5 8250U	128.0	1024.0	SSD	HDD	Nvidia	GeForce 940MX	38813.0
HP	Elitebook 850	Notebook	15.6	8.0	Windows 10	1.84	Full HD	1920.0	1080.0	No	No	No	Intel	2.5	Core i5 7200U	256.0	0.0	SSD	No	Intel	HD Graphics 620	42328.0
Asus	X541NA (N3350/4GB/1TB/Linux)	Notebook	15.6	4.0	Linux	2.0	Standard	1366.0	768.0	No	No	No	Intel	1.1	Celeron Dual Core N3350	1024.0	0.0	HDD	No	Intel	HD Graphics 500	10174.630000000001
Dell	Inspiron 7570	Notebook	15.6	8.0	Windows 10	2.0	Full HD	1920.0	1080.0	No	No	No	Intel	1.6	Core i5 8250U	256.0	0.0	SSD	No	Nvidia	GeForce 940MX	42281.75
Dell	Inspiron 3552	Notebook	15.6	4.0	Linux	2.2	Standard	1366.0	768.0	No	No	No	Intel	1.6	Celeron Dual Core N3060	500.0	0.0	HDD	No	Intel	HD Graphics	10171.3
Lenovo	IdeaPad 320-15ABR	Notebook	15.6	12.0	Windows 10	2.2	Full HD	1920.0	1080.0	No	No	No	AMD	3.6	A12-Series 9720P	2048.0	0.0	HDD	No	AMD	Radeon 530	33263.0
HP	ProBook 450	Notebook	15.6	8.0	Windows 10	2.1	Full HD	1920.0	1080.0	No	Yes	No	Intel	2.4	Core i3 7100U	1024.0	0.0	HDD	No	Nvidia	GeForce 930MX 	26492.0
Lenovo	Yoga 920-13IKB	2 in 1 Convertible	13.9	16.0	Windows 10	1.4	4K Ultra HD	3840.0	2160.0	Yes	Yes	No	Intel	1.8	Core i7 8550U	512.0	0.0	SSD	No	Intel	UHD Graphics 620	77663.0
Dell	XPS 13	Ultrabook	13.3	8.0	Windows 10	1.2	Full HD	1920.0	1080.0	No	No	No	Intel	1.8	Core i7 8550U	256.0	0.0	SSD	No	Intel	UHD Graphics 620	58423.0
Lenovo	Legion Y520-15IKBN	Gaming	15.6	16.0	Windows 10	2.4	Full HD	1920.0	1080.0	No	Yes	No	Intel	2.8	Core i7 7700HQ	256.0	2048.0	SSD	HDD	Nvidia	GeForce GTX 1050 Ti	41773.0
HP	Stream 14-AX001nv	Notebook	14.0	2.0	Windows 10	1.44	Standard	1366.0	768.0	No	No	No	Intel	1.6	Celeron Dual Core N3060	32.0	0.0	Flash Storage	No	Intel	HD Graphics 400	10323.0
Dell	Latitude 5590	Ultrabook	15.6	16.0	Windows 10	1.88	Full HD	1920.0	1080.0	No	No	No	Intel	1.9	Core i7 8650U	512.0	256.0	SSD	SSD	Intel	UHD Graphics 620	59494.520000000004
Asus	VivoBook Flip	2 in 1 Convertible	11.6	4.0	Windows 10	1.5	Standard	1366.0	768.0	Yes	No	No	Intel	1.1	Celeron Dual Core N3350	32.0	0.0	Flash Storage	No	Intel	HD Graphics 500	13875.0
Dell	Inspiron 5570	Ultrabook	15.6	8.0	Windows 10	1.9	Full HD	1920.0	1080.0	No	No	No	Intel	1.6	Core i5 8250U	1024.0	0.0	HDD	No	AMD	Radeon 530	24531.0
Dell	XPS 15	Notebook	15.6	16.0	Windows 10	2.06	4K Ultra HD	3840.0	2160.0	Yes	No	No	Intel	2.8	Core i7 7700HQ	512.0	0.0	SSD	No	Nvidia	GeForce GTX 1050	75014.54000000001
HP	Elitebook 850	Notebook	15.6	8.0	Windows 10	1.84	Full HD	1920.0	1080.0	No	No	No	Intel	2.7	Core i7 7500U	256.0	0.0	SSD	No	Intel	HD Graphics 620	48248.0
MSI	GP72MVR 7RFX	Gaming	17.3	8.0	Windows 10	2.7	Full HD	1920.0	1080.0	No	No	No	Intel	2.8	Core i7 7700HQ	128.0	1024.0	SSD	HDD	Nvidia	GeForce GTX 1060	52133.0
HP	Zbook 15	Workstation	15.6	8.0	Windows 10	2.6	Full HD	1920.0	1080.0	No	No	No	Intel	2.8	Core i7 7700HQ	256.0	0.0	SSD	No	Nvidia	Quadro M1200	64315.99
Toshiba	Tecra A50-C-21G	Notebook	15.6	16.0	Windows 10	2.4	Full HD	1920.0	1080.0	No	Yes	No	Intel	2.5	Core i7 6500U	512.0	0.0	SSD	No	Nvidia	GeForce 930M	51911.0
Dell	Inspiron 5570	Notebook	15.6	8.0	Windows 10	2.02	Full HD	1920.0	1080.0	No	No	No	Intel	1.8	Core i7 8550U	128.0	2048.0	SSD	HDD	AMD	Radeon 530	35923.299999999996
Lenovo	IdeaPad 320-15IAP	Notebook	15.6	4.0	No OS	2.2	Standard	1366.0	768.0	No	No	No	Intel	1.1	Celeron Dual Core N3350	1024.0	0.0	HDD	No	Intel	HD Graphics 500	11913.630000000001
Dell	Inspiron 7577	Gaming	15.6	8.0	Windows 10	2.65	Full HD	1920.0	1080.0	No	No	No	Intel	2.5	Core i5 7300HQ	1024.0	0.0	HDD	No	Nvidia	GeForce GTX 1050	36963.0
Dell	Inspiron 3567	Notebook	15.6	8.0	Windows 10	2.36	Standard	1366.0	768.0	Yes	No	No	Intel	2.5	Core i5 7200U	2048.0	0.0	HDD	No	Intel	HD Graphics 620	20622.69
Dell	Latitude 7480	Notebook	14.0	8.0	Windows 10	1.36	Full HD	1920.0	1080.0	No	No	No	Intel	2.6	Core i5 7300U	256.0	0.0	SSD	No	Intel	HD Graphics 620	52799.0
HP	250 G6	Notebook	15.6	4.0	Windows 10	1.86	Standard	1366.0	768.0	No	No	No	Intel	2.0	Core i3 6006U	500.0	0.0	HDD	No	Intel	HD Graphics 520	16243.0
Asus	Zenbook UX410UA-GV027T	Notebook	14.0	8.0	Windows 10	2.0	Full HD	1920.0	1080.0	No	No	No	Intel	2.5	Core i5 7200U	256.0	0.0	SSD	No	Intel	HD Graphics 620	34965.0
Lenovo	IdeaPad 320-17IKB	Notebook	17.3	6.0	Windows 10	2.8	Standard	1600.0	900.0	No	No	No	Intel	2.5	Core i5 7200U	128.0	1024.0	SSD	HDD	Nvidia	GeForce GTX 940MX	26603.0
HP	250 G6	Notebook	15.6	8.0	Windows 10	1.86	Full HD	1920.0	1080.0	No	No	No	Intel	2.5	Core i5 7200U	1024.0	0.0	HDD	No	Intel	HD Graphics 620	23643.0
Lenovo	IdeaPad 320-15ISK	Notebook	15.6	8.0	No OS	2.2	Standard	1366.0	768.0	No	No	No	Intel	2.0	Core i3 6006U	256.0	0.0	SSD	No	Nvidia	GeForce 920MX 	18463.0
HP	15-AY023na (N3710/8GB/2TB/W10)	Notebook	15.6	8.0	Windows 10	2.04	Standard	1366.0	768.0	No	No	No	Intel	1.6	Pentium Quad Core N3710	2048.0	0.0	HDD	No	Intel	HD Graphics 405	14393.0
Dell	Inspiron 5770	Notebook	17.3	8.0	Windows 10	2.8	Full HD	1920.0	1080.0	No	No	No	Intel	1.6	Core i5 8250U	128.0	1024.0	SSD	HDD	AMD	Radeon 530	40145.0
Lenovo	Legion Y520-15IKBN	Gaming	15.6	8.0	No OS	2.4	Full HD	1920.0	1080.0	No	Yes	No	Intel	2.5	Core i5 7300HQ	128.0	1024.0	SSD	HDD	Nvidia	GeForce GTX 1050	29933.0
Dell	Inspiron 5567	Notebook	15.6	8.0	Windows 10	2.33	Full HD	1920.0	1080.0	No	No	No	Intel	2.7	Core i7 7500U	256.0	0.0	SSD	No	AMD	Radeon R7 M445	33263.0
HP	Elitebook 1040	Ultrabook	14.0	8.0	Windows 10	1.36	Full HD	1920.0	1080.0	No	Yes	No	Intel	2.7	Core i7 7500U	256.0	0.0	SSD	No	Intel	HD Graphics 620	64750.0
Asus	ZenBook Flip	2 in 1 Convertible	15.6	12.0	Windows 10	2.26	Full HD	1920.0	1080.0	Yes	No	No	Intel	2.7	Core i7 7500U	512.0	2048.0	SSD	HDD	Nvidia	GeForce GT 940MX	40663.0
Acer	Aspire 3	Notebook	15.6	4.0	Windows 10	2.1	Standard	1366.0	768.0	No	No	No	AMD	3.0	A9-Series 9420	128.0	0.0	SSD	No	AMD	Radeon R5	15762.0
Asus	Rog Strix	Gaming	17.3	16.0	Windows 10	3.25	Full HD	1920.0	1080.0	No	Yes	No	AMD	3.0	Ryzen 1700	256.0	1024.0	SSD	HDD	AMD	Radeon RX 580	81363.0
Lenovo	IdeaPad 110-17ACL	Notebook	17.3	4.0	Windows 10	2.6	Standard	1600.0	900.0	No	No	No	AMD	2.2	A8-Series 7410	128.0	0.0	SSD	No	AMD	Radeon R5	18093.0
Dell	Inspiron 5379	2 in 1 Convertible	13.3	8.0	Windows 10	1.62	Full HD	1920.0	1080.0	Yes	No	No	Intel	1.8	Core i7 8550U	256.0	0.0	SSD	No	Intel	UHD Graphics 620	32153.37
HP	15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10)	Notebook	15.6	4.0	Windows 10	1.91	Full HD	1920.0	1080.0	No	No	No	AMD	3.0	A9-Series 9420	256.0	0.0	SSD	No	AMD	Radeon R5	18092.63
Lenovo	Yoga 11e	Netbook	11.6	4.0	Windows 10	1.59	Standard	1366.0	768.0	No	Yes	No	Intel	1.1	Celeron Quad Core N3450	128.0	0.0	SSD	No	Intel	HD Graphics 500	20461.0
Dell	Inspiron 3552	Notebook	15.6	4.0	Windows 10	1.8	Standard	1366.0	768.0	No	No	No	Intel	1.6	Celeron Dual Core N3060	500.0	0.0	HDD	No	Intel	HD Graphics 400	11433.0
Asus	VivoBook E403NA	Notebook	14.0	4.0	Windows 10	1.5	Standard	1366.0	768.0	No	No	No	Intel	1.1	Celeron Dual Core N3350	32.0	0.0	Flash Storage	No	Intel	HD Graphics 500	10582.0
Acer	Aspire 7	Notebook	15.6	8.0	Linux	2.4	Full HD	1920.0	1080.0	No	No	No	Intel	2.8	Core i7 7700HQ	1024.0	0.0	HDD	No	Nvidia	GeForce GTX 1050	31302.0
HP	Omen 17-w212nv	Gaming	17.3	8.0	Windows 10	3.35	Full HD	1920.0	1080.0	No	Yes	No	Intel	2.8	Core i7 7700HQ	128.0	1024.0	SSD	HDD	Nvidia	GeForce GTX 1050	44067.0
Lenovo	V310-15ISK (i3-6006U/4GB/128GB/FHD/No	Notebook	15.6	4.0	No OS	1.85	Full HD	1920.0	1080.0	No	No	No	Intel	2.0	Core i3 6006U	128.0	0.0	SSD	No	Intel	HD Graphics 520	14929.5
Asus	ROG Strix	Gaming	15.6	8.0	Windows 10	2.3	Full HD	1920.0	1080.0	No	Yes	No	Intel	2.8	Core i7 7700HQ	128.0	1024.0	SSD	HDD	Nvidia	GeForce GTX 1060	61235.0
Lenovo	IdeaPad 720S-14IKB	Notebook	14.0	8.0	Windows 10	1.5	Full HD	1920.0	1080.0	No	Yes	No	Intel	2.5	Core i5 7200U	256.0	0.0	SSD	No	Nvidia	GeForce 940MX	40663.0
Asus	Zenbook Flip	Ultrabook	13.3	16.0	Windows 10	1.1	Full HD	1920.0	1080.0	Yes	No	No	Intel	2.7	Core i7 7500U	512.0	0.0	SSD	No	Intel	HD Graphics 620	64709.3
Lenovo	Thinkpad X1	Ultrabook	14.0	8.0	Windows 10	1.13	Standard	2560.0	1440.0	No	Yes	No	Intel	2.7	Core i7 7500U	512.0	0.0	SSD	No	Intel	HD Graphics 620	84434.0
Lenovo	Ideapad 510S-13IKB	Notebook	13.3	4.0	Windows 10	1.5	Full HD	1920.0	1080.0	No	Yes	No	Intel	2.4	Core i3 7100U	128.0	0.0	SSD	No	Intel	HD Graphics 620	20313.0
Dell	Precision 3510	Workstation	15.6	8.0	Windows 10	2.23	Full HD	1920.0	1080.0	No	No	No	Intel	2.6	Core i5 6440HQ	500.0	0.0	HDD	No	AMD	FirePro W5130M	50653.0
Dell	Precision 5520	Workstation	15.6	8.0	Windows 10	2.0	Full HD	1920.0	1080.0	No	Yes	No	Intel	2.7	Core i7 6820HQ	256.0	0.0	SSD	No	Nvidia	Quadro M1200	78995.0
Lenovo	ThinkPad X1	2 in 1 Convertible	14.0	16.0	Windows 10	1.42	Standard	2560.0	1440.0	Yes	No	No	Intel	2.7	Core i7 7500U	512.0	0.0	SSD	No	Intel	HD Graphics 620	92833.0
Asus	Rog GL753VD-GC042T	Gaming	17.3	8.0	Windows 10	3.0	Full HD	1920.0	1080.0	No	No	No	Intel	2.8	Core i7 7700HQ	1024.0	0.0	HDD	No	Nvidia	GeForce GTX 1050	38443.0
Asus	Rog GL753VE-GC070T	Gaming	17.3	16.0	Windows 10	3.0	Full HD	1920.0	1080.0	No	No	No	Intel	2.8	Core i7 7700HQ	256.0	1024.0	SSD	HDD	Nvidia	GeForce GTX 1050 Ti	58867.0
Acer	Aspire 5	Notebook	15.6	12.0	Windows 10	2.2	Standard	1366.0	768.0	No	Yes	No	Intel	1.6	Core i5 8250U	1024.0	0.0	HDD	No	Nvidia	GeForce MX130	25677.63
MSI	Leopard GP72M	Gaming	17.3	8.0	Windows 10	2.7	Full HD	1920.0	1080.0	No	No	No	Intel	2.8	Core i7 7700HQ	256.0	0.0	SSD	No	Nvidia	GeForce GTX 1050 Ti	49913.0
Dell	Inspiron 5567	Notebook	15.6	8.0	Linux	2.33	Full HD	1920.0	1080.0	No	No	No	Intel	2.7	Core i7 7500U	256.0	0.0	SSD	No	AMD	Radeon R7 M445	28818.19
HP	15-BW004nv (A9-9420/4GB/256GB/Radeon	Ultrabook	15.6	4.0	Windows 10	1.91	Full HD	1920.0	1080.0	No	No	No	AMD	3.0	A9-Series 9420	256.0	0.0	SSD	No	AMD	Radeon 520	18463.0
Lenovo	ThinkPad E580	Notebook	15.6	8.0	Windows 10	2.1	Full HD	1920.0	1080.0	No	Yes	No	Intel	1.8	Core i7 8550U	256.0	0.0	SSD	No	AMD	Radeon RX 550	45493.72
Lenovo	ThinkPad L470	Notebook	14.0	8.0	Windows 10	1.9	Full HD	1920.0	1080.0	No	Yes	No	Intel	2.5	Core i5 7200U	256.0	0.0	SSD	No	Intel	HD Graphics 620	34706.0
Dell	Precision M5520	Workstation	15.6	8.0	Windows 10	1.78	4K Ultra HD	3840.0	2160.0	Yes	No	No	Intel	2.8	Core i7 7700HQ	256.0	0.0	SSD	No	Nvidia	Quadro M1200	100344.0
Lenovo	Thinkpad X1	Ultrabook	14.0	16.0	Windows 10	1.13	Standard	2560.0	1440.0	No	Yes	No	Intel	2.7	Core i7 7500U	1024.0	0.0	SSD	No	Intel	HD Graphics 620	97125.0
Lenovo	IdeaPad 320-15IAP	Notebook	15.6	4.0	Windows 10	2.2	Standard	1366.0	768.0	No	No	No	Intel	1.1	Celeron Dual Core N3350	1024.0	0.0	HDD	No	Intel	HD Graphics 500	11322.0
Asus	FX753VD-GC461T (i7-7700HQ/16GB/1TB	Gaming	17.3	16.0	Windows 10	2.9	Full HD	1920.0	1080.0	No	No	No	Intel	2.8	Core i7 7700HQ	256.0	1024.0	SSD	HDD	Nvidia	GeForce GTX 1050	56573.0
Lenovo	ThinkPad E580	Notebook	15.6	8.0	Windows 10	2.1	Full HD	1920.0	1080.0	No	Yes	No	Intel	1.6	Core i5 8250U	256.0	1024.0	SSD	HDD	AMD	Radeon RX 550	42346.5
Acer	Aspire 7	Notebook	15.6	8.0	Linux	2.5	Full HD	1920.0	1080.0	No	No	No	Intel	2.8	Core i7 7700HQ	256.0	0.0	SSD	No	Nvidia	GeForce GTX 1050	32523.0
MSI	GE73VR 7RF	Gaming	17.3	16.0	Windows 10	2.8	Full HD	1920.0	1080.0	No	No	No	Intel	2.8	Core i7 7700HQ	256.0	1024.0	SSD	HDD	Nvidia	GeForce GTX 1070	83213.0
Asus	Zenbook 3	Ultrabook	14.0	8.0	Windows 10	1.1	Full HD	1920.0	1080.0	No	No	No	Intel	2.7	Core i7 7500U	512.0	0.0	SSD	No	Intel	HD Graphics 620	69301.0
Toshiba	Portege Z30-C-16P	Ultrabook	13.3	16.0	Windows 10	1.2	Full HD	1920.0	1080.0	No	No	No	Intel	2.5	Core i7 6500U	512.0	0.0	SSD	No	Intel	HD Graphics 520	64639.0
Dell	Latitude 7480	Ultrabook	14.0	8.0	Windows 10	1.36	Full HD	1920.0	1080.0	No	No	No	Intel	2.8	Core i7 7600U	512.0	0.0	SSD	No	Intel	HD Graphics	62160.0
Lenovo	IdeaPad 320-15ISK	Notebook	15.6	4.0	Windows 10	2.2	Full HD	1920.0	1080.0	No	No	No	Intel	2.0	Core i3 6006U	500.0	0.0	HDD	No	Intel	HD Graphics 520	15133.0
Lenovo	Lenovo IdeaPad	Notebook	11.6	2.0	Windows 10	1.15	Standard	1366.0	768.0	No	No	No	Intel	1.1	Celeron Dual Core N3350	32.0	0.0	Flash Storage	No	Intel	HD Graphics 500	11264.65
Lenovo	ThinkPad P51	Workstation	15.6	8.0	Windows 10	2.67	Full HD	1920.0	1080.0	No	No	No	Intel	2.8	Core i7 7700HQ	512.0	0.0	SSD	No	Nvidia	Quadro M1200	71225.0
Lenovo	Thinkpad T470p	Ultrabook	14.0	8.0	Windows 10	1.7	Full HD	2560.0	1440.0	No	Yes	No	Intel	2.8	Core i7 7700HQ	512.0	0.0	SSD	No	Nvidia	GeForce GT 940MX	71891.0
HP	15-BS028nv (i3-6006U/4GB/1TB/Radeon	Notebook	15.6	4.0	Windows 10	2.1	Full HD	1920.0	1080.0	No	No	No	Intel	2.0	Core i3 6006U	1024.0	0.0	HDD	No	AMD	Radeon 520	17353.0
Acer	Aspire R7	2 in 1 Convertible	13.3	8.0	Windows 10	1.6	Full HD	1920.0	1080.0	Yes	Yes	No	Intel	2.5	Core i7 6500U	256.0	0.0	SSD	No	Intel	HD Graphics 520	29193.37
Asus	ZenBook Flip	2 in 1 Convertible	13.3	8.0	Windows 10	1.27	Full HD	1920.0	1080.0	Yes	Yes	No	Intel	2.5	Core i5 7200U	256.0	0.0	SSD	No	Intel	HD Graphics 620	34336.0
Dell	Inspiron 3567	Notebook	15.6	4.0	Linux	2.3	Full HD	1920.0	1080.0	No	No	No	Intel	2.5	Core i5 7200U	256.0	0.0	SSD	No	AMD	Radeon R5 M430	22159.3
Dell	Latitude 3380	Notebook	13.3	4.0	Windows 10	1.65	Standard	1366.0	768.0	No	No	No	Intel	2.0	Core i3 6006U	128.0	0.0	SSD	No	Intel	HD Graphics 520	25493.0
HP	EliteBook 1040	Ultrabook	14.0	8.0	Windows 10	1.43	Full HD	1920.0	1080.0	No	No	No	Intel	2.5	Core i7 6500U	256.0	0.0	SSD	No	Intel	HD Graphics 520	55500.0
Dell	Inspiron 3567	Notebook	15.6	8.0	Windows 10	2.14	Standard	1366.0	768.0	No	No	No	Intel	2.5	Core i5 7200U	1024.0	0.0	HDD	No	Intel	HD Graphics 620	19978.15
Lenovo	ThinkPad E480	Ultrabook	14.0	8.0	Windows 10	1.75	Full HD	1920.0	1080.0	No	Yes	No	Intel	1.8	Core i7 8550U	256.0	0.0	SSD	No	AMD	Radeon RX 550	44969.060000000005
Lenovo	Yoga 720-15IKB	2 in 1 Convertible	15.6	16.0	Windows 10	2.0	4K Ultra HD	3840.0	2160.0	Yes	Yes	No	Intel	2.8	Core i7 7700HQ	512.0	0.0	SSD	No	Nvidia	GeForce GTX 1050	70263.0
